x,y
185,258
184,257
183,256
182,255
181,254
180,254
179,253
178,253
177,253
176,254
175,253
174,253
173,253
173,252
173,251
172,250
171,249
170,248
169,247
168,247
167,247
166,247
165,247
164,248
163,248
162,248
161,248
160,248
159,248
158,248
157,249
156,249
155,250
154,250
153,250
152,250
151,251
150,252
149,253
148,253
147,254
146,254
145,255
144,256
143,257
142,258
141,258
140,259
139,260
138,261
137,262
137,263
136,264
135,265
135,266
134,267
133,268
132,269
132,270
131,271
130,272
130,273
130,274
130,275
130,276
129,277
128,278
128,279
128,280
128,281
128,282
128,283
128,284
128,285
127,286
127,287
127,288
126,289
126,290
125,291
125,292
125,293
124,294
123,295
122,296
121,297
120,298
119,299
118,299
117,300
116,300
115,300
114,300
113,300
112,300
111,300
110,300
109,300
108,300
107,301
106,301
105,301
104,301
103,302
102,303
101,304
100,304
99,304
98,304
97,304
96,303
95,302
94,301
93,300
92,300
91,300
90,299
89,299
88,298
87,298
86,297
85,297
84,297
83,297
82,297
81,296
80,296
79,296
78,296
77,295
76,295
75,295
74,295
73,295
72,295
71,294
70,295
69,294
68,294
67,293
66,293
65,293
64,293
63,293
62,293
61,294
60,295
59,296
59,297
58,297
57,296
56,295
56,294
55,293
54,292
53,292
52,292
51,291
50,291
50,290
50,289
49,288
49,287
49,286
48,285
48,284
48,283
48,282
48,281
49,280
49,279
49,278
49,277
50,276
50,275
51,274
52,273
52,272
53,271
53,270
54,269
55,268
56,267
56,266
57,265
57,264
57,263
57,262
57,261
57,260
58,259
59,258
60,257
61,256
61,255
62,254
62,253
62,252
63,251
64,250
65,250
66,249
67,249
68,248
69,248
70,248
71,247
72,247
73,246
74,246
75,246
76,245
77,244
78,244
79,243
80,243
81,243
82,244
83,244
84,245
85,245
86,245
87,245
88,245
89,246
90,246
91,246
92,246
93,247
94,247
95,247
96,248
97,248
98,248
99,248
100,248
101,248
102,247
103,247
104,247
105,247
106,246
107,246
108,246
109,246
110,245
111,244
112,243
113,242
114,242
115,241
116,241
117,241
118,240
119,239
120,239
121,238
122,238
123,237
124,236
125,236
126,236
127,235
128,234
129,233
130,232
131,231
132,230
133,229
134,229
135,228
136,227
136,226
137,225
138,224
138,223
138,222
139,221
139,220
140,219
140,218
141,217
142,216
141,215
141,214
142,213
142,212
142,211
141,210
141,209
141,208
142,207
142,206
143,205
143,204
143,203
142,202
143,201
143,200
144,199
144,198
143,197
143,196
143,195
142,194
142,193
141,192
140,191
140,190
139,189
139,188
139,187
139,186
138,185
138,184
137,183
136,182
136,181
136,180
135,179
135,178
135,177
135,176
135,175
134,174
134,173
134,172
134,171
134,170
134,169
135,168
136,167
137,166
137,165
137,164
138,163
138,162
139,161
139,160
140,159
141,159
142,158
143,158
144,158
145,157
146,156
147,156
148,156
149,156
150,156
151,156
152,155
153,155
154,155
155,155
156,155
157,155
158,154
159,153
160,153
161,153
162,152
163,152
164,151
165,150
166,149
167,149
168,149
169,149
170,148
171,148
172,147
173,146
174,145
175,145
176,145
177,145
178,144
179,143
180,142
181,141
182,141
183,141
184,140
185,140
186,139
187,138
188,137
189,136
190,135
191,134
192,133
193,132
194,132
195,131
195,130
196,129
197,128
197,127
197,126
197,125
197,124
197,123
198,122
198,121
198,120
198,119
198,118
199,117
199,116
199,115
199,114
199,113
199,112
198,111
198,110
198,109
198,108
197,107
197,106
197,105
197,104
196,103
195,102
195,101
194,100
193,99
192,98
191,97
191,96
191,95
190,94
189,93
188,92
187,91
187,90
187,89
187,88
187,87
186,86
185,85
184,84
184,83
184,82
184,81
184,80
183,79
183,78
183,77
183,76
183,75
182,74
182,73
182,72
183,71
183,70
183,69
183,68
183,67
183,66
183,65
183,64
183,63
183,62
184,61
184,60
184,59
184,58
184,57
185,56
185,55
185,54
185,53
185,52
185,51
185,50
185,49
185,48
184,47
184,46
184,45
184,44
183,43
183,42
183,41
183,40
183,39
183,38
183,37
184,36
184,35
185,34
185,33
186,32
187,31
188,30
189,29
190,28
191,27
192,27
193,26
194,25
195,25
196,25
197,25
198,25
199,24
200,24
201,24
202,24
203,23
204,22
205,22
206,21
207,20
208,19
209,19
210,19
211,19
212,19
